date,Open,High,Low,Close,Adj Close,Volume
2021-09-15,3431.217285,3615.282715,3365.913086,3615.282715,3615.282715,17548551804
2021-09-16,3613.073730,3673.310791,3489.805664,3571.294922,3571.294922,20093903064
2021-09-17,3569.568115,3589.305176,3356.449951,3398.538818,3398.538818,17722363229
2021-09-18,3397.422852,3540.807617,3371.892334,3432.018311,3432.018311,15995220233
2021-09-19,3433.287842,3448.322021,3286.172363,3329.447998,3329.447998,14257609743
2021-09-20,3329.670654,3343.325439,2940.839111,2958.993408,2958.993408,27371684581
2021-09-21,2977.310547,3101.697510,2676.407471,2764.431152,2764.431152,30405062665
2021-09-22,2763.209229,3089.083008,2741.440674,3077.867920,3077.867920,23742102645
2021-09-23,3077.974365,3173.544678,3038.097900,3155.523682,3155.523682,18516291047
2021-09-24,3154.562012,3159.644043,2747.337646,2931.669189,2931.669189,25595422789
2021-09-25,2930.884766,2968.994629,2818.970459,2925.565674,2925.565674,18932786754
2021-09-26,2926.343018,3114.857422,2744.583008,3062.265381,3062.265381,21172766310
2021-09-27,3065.837891,3163.665039,2932.692871,2934.138916,2934.138916,19164053681
2021-09-28,2928.963379,2970.770508,2793.360596,2807.296631,2807.296631,16895079070
2021-09-29,2809.297607,2946.881348,2786.988281,2853.143311,2853.143311,15763456158
2021-09-30,2852.558838,3046.519531,2840.289551,3001.678955,3001.678955,17661065099
2021-10-01,3001.129395,3329.853516,2978.654297,3307.516113,3307.516113,22307625573
2021-10-02,3308.870361,3464.837402,3260.027588,3391.694336,3391.694336,19202671704
2021-10-03,3390.767578,3484.605713,3348.120117,3418.358643,3418.358643,15516566862
2021-10-04,3418.776367,3434.775391,3283.448730,3380.089111,3380.089111,17747154101
2021-10-05,3381.784424,3541.451660,3365.817627,3518.518555,3518.518555,16632591670
2021-10-06,3516.570313,3622.551270,3354.469727,3580.562012,3580.562012,21855226591
2021-10-07,3576.814453,3650.013184,3479.909180,3587.974854,3587.974854,19090322927
2021-10-08,3587.832764,3667.957520,3547.828125,3563.759277,3563.759277,16222029488
2021-10-09,3559.997803,3628.237305,3544.640381,3575.716797,3575.716797,12707036942
2021-10-10,3575.020508,3603.244873,3414.970947,3425.852783,3425.852783,16171746693
2021-10-11,3419.726807,3622.289551,3385.761719,3545.354004,3545.354004,18579189588
2021-10-12,3546.477783,3546.477783,3407.338135,3492.573242,3492.573242,18109578443
2021-10-13,3492.753662,3607.741699,3417.602051,3606.201660,3606.201660,16211275589
2021-10-14,3604.958984,3819.258545,3590.275146,3786.014160,3786.014160,19443499909
2021-10-15,3790.154297,3895.466309,3735.363525,3862.634766,3862.634766,20966841512
2021-10-16,3865.666504,3962.453125,3805.885986,3830.382080,3830.382080,16578095629
2021-10-17,3829.858887,3914.897949,3660.723389,3847.104492,3847.104492,15908090346
2021-10-18,3847.729980,3888.209229,3686.750488,3748.760254,3748.760254,17386204158
2021-10-19,3747.162842,3883.928711,3736.780273,3877.650879,3877.650879,15998757133
2021-10-20,3877.730957,4167.472168,3833.288086,4155.992188,4155.992188,20338319988
2021-10-21,4161.713379,4366.088379,4032.483887,4054.322754,4054.322754,28220661820
2021-10-22,4055.686523,4162.975586,3908.340332,3970.181885,3970.181885,19432937968
2021-10-23,3971.356445,4171.663574,3944.631836,4171.663574,4171.663574,14781537792
2021-10-24,4171.855957,4185.729492,3967.120361,4087.903076,4087.903076,14978083638
2021-10-25,4084.425781,4236.666992,4072.034668,4217.876953,4217.876953,15995727040
2021-10-26,4217.337891,4289.131348,4106.823730,4131.102051,4131.102051,17157714562
2021-10-27,4132.173340,4299.152832,3930.257324,3930.257324,3930.257324,26219530404
2021-10-28,3924.815430,4293.150879,3905.706055,4287.318848,4287.318848,25958154575
2021-10-29,4288.686523,4455.735352,4271.707520,4414.746582,4414.746582,22967641914
2021-10-30,4414.243652,4426.848633,4252.494141,4325.650391,4325.650391,14615490626
2021-10-31,4322.744141,4394.449707,4179.016113,4288.074219,4288.074219,17498160238
2021-11-01,4288.217285,4377.322266,4160.966797,4324.626953,4324.626953,17985288261
2021-11-02,4322.500977,4599.948242,4288.686523,4584.798828,4584.798828,20794448222
2021-11-03,4589.684570,4664.910156,4462.976074,4607.193848,4607.193848,21220463155
2021-11-04,4604.678711,4606.516113,4426.622559,4537.324219,4537.324219,18415244464
2021-11-05,4537.423340,4570.895996,4447.487305,4486.243164,4486.243164,15086003586
2021-11-06,4482.647949,4530.997070,4334.973633,4521.581055,4521.581055,14429076700
2021-11-07,4523.981934,4640.921875,4510.984375,4620.554688,4620.554688,13541376033
2021-11-08,4619.649414,4822.363281,4619.649414,4812.087402,4812.087402,19290896267
2021-11-09,4810.071289,4837.589355,4718.039063,4735.068848,4735.068848,20834172627
2021-11-10,4733.362793,4859.502930,4485.093262,4636.174316,4636.174316,22748160545
2021-11-11,4635.453613,4778.059082,4580.990234,4730.384277,4730.384277,17933201129
2021-11-12,4724.306641,4808.738770,4510.920410,4667.115234,4667.115234,18316060208
2021-11-13,4666.719238,4702.115234,4582.180664,4651.460449,4651.460449,14457436261
2021-11-14,4648.632813,4689.842773,4516.935547,4626.358887,4626.358887,12172962219
2021-11-15,4627.090820,4764.636230,4546.599121,4557.503906,4557.503906,16275851299
2021-11-16,4570.478027,4891.704590,4144.334961,4216.365234,4216.365234,27417502801
2021-11-17,4213.910645,4300.306641,4107.125977,4287.593750,4287.593750,22183461850
2021-11-18,4287.802246,4343.557129,3959.227783,4000.650879,4000.650879,21383250893
2021-11-19,3995.729492,4311.713867,3982.917480,4298.306641,4298.306641,20626269711
2021-11-20,4298.350586,4434.388184,4209.242676,4409.931152,4409.931152,15448261277
2021-11-21,4412.195313,4422.491699,4255.455078,4269.732910,4269.732910,14094831413
2021-11-22,4266.509277,4302.022949,4033.572266,4088.457764,4088.457764,19752218877
2021-11-23,4089.680420,4385.483398,4069.766602,4340.763672,4340.763672,22133497059
2021-11-24,4340.036133,4376.875977,4176.183594,4239.981445,4239.981445,21838037128
2021-11-25,4271.394531,4550.518066,4249.774414,4274.743164,4274.743164,18705358318
2021-11-26,4522.208984,4550.842285,3933.506592,4030.908936,4030.908936,26281795488
2021-11-27,4042.999023,4187.684082,4033.513916,4096.912109,4096.912109,16515693874
2021-11-28,4101.648926,4297.916504,3989.969971,4294.453613,4294.453613,15953126340
2021-11-29,4296.946777,4460.848633,4284.504883,4445.104980,4445.104980,19086475837
2021-11-30,4447.768066,4753.266113,4358.074219,4631.479004,4631.479004,28626354111
2021-12-01,4623.679688,4780.732422,4530.272461,4586.990234,4586.990234,27634826695
2021-12-02,4586.333008,4628.919922,4441.507813,4511.302246,4511.302246,21502671027
2021-12-03,4514.355957,4647.289063,4100.145508,4220.706055,4220.706055,25879591528
2021-12-04,4227.762207,4242.725586,3525.494141,4119.587402,4119.587402,38478999182
2021-12-05,4119.628906,4246.923340,4040.217529,4198.322754,4198.322754,25533062707
2021-12-06,4199.000000,4375.520508,3930.806641,4358.737305,4358.737305,28229518513
2021-12-07,4358.586914,4428.589355,4264.323730,4315.061523,4315.061523,22366213354
2021-12-08,4311.674316,4453.112305,4234.537598,4439.357910,4439.357910,18704315119
2021-12-09,4433.024902,4482.313965,4078.844238,4119.815918,4119.815918,22296131874
2021-12-10,4113.588379,4227.111816,3897.767578,3908.496094,3908.496094,28014595631
2021-12-11,3909.667725,4095.648438,3846.054443,4084.452393,4084.452393,19131502454
2021-12-12,4084.811279,4173.608887,3993.055908,4134.453125,4134.453125,14057603914
2021-12-13,4136.359863,4145.955078,3680.609131,3784.226807,3784.226807,23999841386
2021-12-14,3782.822754,3866.633789,3700.104736,3745.440430,3745.440430,23836759957
2021-12-15,3862.251465,4086.372803,3664.719971,4018.388672,4018.388672,26411188833
2021-12-16,4020.415039,4110.368652,3956.057129,3962.469727,3962.469727,19825531254
2021-12-17,3959.012451,3992.792480,3711.424561,3879.486572,3879.486572,23143541098
2021-12-18,3880.291504,3993.829834,3774.614990,3960.860107,3960.860107,19530895889
2021-12-19,3960.872314,4018.658447,3894.398682,3922.592529,3922.592529,16167785597
2021-12-20,3923.695801,3980.098633,3759.403320,3933.844482,3933.844482,21589690675
2021-12-21,3938.463867,4058.821289,3918.837891,4020.260010,4020.260010,16388555198
2021-12-22,4018.695801,4073.791504,3947.690186,3982.099609,3982.099609,13921756199
2021-12-23,3981.961670,4149.026855,3897.234375,4108.015625,4108.015625,18007273742
2021-12-24,4111.345215,4134.106445,4029.064453,4047.982910,4047.982910,12769090623
2021-12-25,4049.781982,4138.564941,4027.927002,4093.281006,4093.281006,10894785525
2021-12-26,4094.151611,4105.023926,4013.026367,4067.328125,4067.328125,11197244172
2021-12-27,4064.746338,4126.001465,4033.492432,4037.547607,4037.547607,11424360002
2021-12-28,4037.538086,4037.538086,3769.280029,3800.893066,3800.893066,17299472803
2021-12-29,3797.436279,3827.981934,3612.795898,3628.531738,3628.531738,15722555672
2021-12-30,3632.219727,3767.559814,3595.204834,3713.852051,3713.852051,12925377999
2021-12-31,3713.430176,3807.288818,3636.869873,3682.632813,3682.632813,14157285268
2022-01-01,3683.047119,3769.917969,3682.286621,3769.697021,3769.697021,9776191466
2022-01-02,3769.298340,3836.161865,3727.357422,3829.564941,3829.564941,9881471548
2022-01-03,3829.535645,3836.198730,3698.047607,3761.380371,3761.380371,12080777893
2022-01-04,3761.361572,3876.785156,3723.349854,3794.056641,3794.056641,14030925983
2022-01-05,3794.269043,3842.059814,3456.745361,3550.386963,3550.386963,18061338502
2022-01-06,3549.708984,3549.708984,3335.376709,3418.408203,3418.408203,24293791313
2022-01-07,3417.837891,3420.461914,3117.381348,3193.210449,3193.210449,24494179209
2022-01-08,3193.502441,3240.304443,3020.880859,3091.972656,3091.972656,16037732700
2022-01-09,3091.696289,3206.790771,3075.911377,3157.751465,3157.751465,12334683863
2022-01-10,3157.570557,3177.213379,2947.683594,3083.097900,3083.097900,19535744145
2022-01-11,3082.990967,3247.511963,3061.140625,3238.111572,3238.111572,15211447193
2022-01-12,3238.449951,3401.219971,3216.718018,3372.258301,3372.258301,16662871689
2022-01-13,3372.104980,3396.969727,3247.917480,3248.288574,3248.288574,15294466275